"flickr_id","mos"
"3339962845","4.6400000000"
"8171831850","4.4440298510"
"6076608135","4.4000000000"
"8751538577","4.4000000000"
"7518773518","4.3200000000"
"8657921837","4.3000000000"
"8758952624","4.3000000000"
"9571377943","4.2800000000"
"8562619627","4.2600000000"
"12262452854","4.2400000000"
"12379836133","4.2400000000"
"12355531285","4.2200000000"
"6947112934","4.1800000000"
"4675931801","4.1600000000"
"6787309364","4.1600000000"
"5391431291","4.1518518520"
"10244479353","4.1400000000"
"10283826203","4.1400000000"
"10595581344","4.1400000000"
"4779773181","4.1400000000"
"8286421427","4.1400000000"
"11618284403","4.1200000000"
"5893119747","4.1200000000"
"6913535960","4.1062992130"
"13288073854","4.1000000000"
"5355837503","4.1000000000"
"11540616946","4.0800000000"
"3407992311","4.0800000000"
"9633321480","4.0800000000"
"10008004183","4.0600000000"
"7177696763","4.0600000000"
"5477809421","4.0400000000"
"5489207006","4.0400000000"
"6900620920","4.0400000000"
"9060241382","4.0400000000"
"9480678073","4.0400000000"
"9513903384","4.0400000000"
"9917916796","4.0400000000"
"12378508014","4.0355731230"
"3369925072","4.0200000000"
"3863745355","4.0200000000"
"3963620197","4.0200000000"
"4329911079","4.0200000000"
"6137257339","4.0200000000"
"8667534666","4.0200000000"
"8701032421","4.0200000000"
"9709640314","4.0200000000"
"12123666684","4.0000000000"
"6914710581","4.0000000000"
"4549036485","3.9924812030"
"4273096444","3.9800000000"
"4800261002","3.9800000000"
"9464591256","3.9800000000"
"12255205254","3.9600000000"
"7977126554","3.9600000000"
"8182527128","3.9600000000"
"8420230247","3.9600000000"
"6528988807","3.9448818900"
"10149337843","3.9400000000"
"11465976586","3.9400000000"
"11535683914","3.9400000000"
"4655662252","3.9400000000"
"7029270875","3.9400000000"
"8859509880","3.9400000000"
"11383768246","3.9200000000"
"5487345956","3.9200000000"
"5875944717","3.9200000000"
"6492110563","3.9200000000"
"6949440526","3.9200000000"
"7197025396","3.9200000000"
"7385692814","3.9200000000"
"7832506570","3.9200000000"
"8052505414","3.9200000000"
"8172276744","3.9200000000"
"8440192357","3.9200000000"
"11864752706","3.9000000000"
"12704590184","3.9000000000"
"4417558772","3.9000000000"
"4495254692","3.9000000000"
"4545845826","3.9000000000"
"5562932712","3.9000000000"
"8414555471","3.9000000000"
"8751856572","3.9000000000"
"8937776831","3.9000000000"
