MOS,Predicted values
3.6800000071525574,3.5938568115234375
3.4599998593330383,3.5995078086853027
3.4799998998641968,3.5695810317993164
3.700000047683716,3.4369916915893555
2.3999999463558197,2.499774694442749
3.8999998569488525,3.5728397369384766
3.8999998569488525,3.984117031097412
3.659999966621399,3.6280484199523926
3.5600000619888306,3.6346068382263184
3.6000001430511475,3.9463090896606445
3.319999873638153,3.4009079933166504
3.0000001192092896,2.5992796421051025
3.1999999284744263,2.893063545227051
3.8600000739097595,3.3416924476623535
3.7982454895973206,3.2238900661468506
2.0999999344348907,1.8306529521942139
1.979999989271164,2.472654342651367
1.8199999630451202,1.754865050315857
4.040000140666962,3.8927083015441895
2.8600001335144043,2.7594046592712402
3.1999999284744263,3.620845079421997
3.28000009059906,3.4242911338806152
3.019999861717224,1.7791236639022827
3.100000023841858,2.0690348148345947
3.799999952316284,3.525841236114502
3.019999861717224,2.8777480125427246
2.119999974966049,2.5807480812072754
2.8999999165534973,2.967838764190674
2.2200000286102295,2.8608245849609375
3.1600001454353333,3.398745536804199
3.3399999141693115,2.918097972869873
2.2599999606609344,2.3519203662872314
2.7000001072883606,2.7423596382141113
2.2599999606609344,2.6867074966430664
3.7400001287460327,3.490450859069824
3.840000033378601,3.5570013523101807
3.400000035762787,3.5745203495025635
2.5,2.303471803665161
3.3799999952316284,3.560087203979492
3.580000102519989,3.6563520431518555
1.5199999511241913,2.272156238555908
2.759999930858612,3.135514259338379
2.680000066757202,3.1374289989471436
3.799999952316284,3.8801522254943848
3.0000001192092896,2.9398579597473145
2.060000002384186,2.4676363468170166
3.3399999141693115,3.3294012546539307
1.5199999511241913,2.1454312801361084
2.2200000286102295,2.811974287033081
3.0399999022483826,3.3378701210021973
3.9800000190734863,3.7790002822875977
3.7063491344451904,3.449380397796631
4.040000140666962,3.8497753143310547
2.7399998903274536,2.805079221725464
3.799999952316284,3.5201163291931152
4.040000140666962,3.6075658798217773
3.7799999117851257,3.140374183654785
3.6000001430511475,3.631807565689087
2.57999986410141,2.719494104385376
3.8600000739097595,3.424510955810547
3.1600001454353333,2.3537025451660156
3.8199999928474426,3.606428623199463
2.0999999344348907,2.268317461013794
4.280000030994415,3.8690834045410156
3.880000114440918,3.6120283603668213
3.5600000619888306,3.244229316711426
3.3399999141693115,3.4287519454956055
3.8199999928474426,3.263920545578003
2.0800000429153442,2.3698549270629883
3.4200000762939453,2.9469351768493652
4.079999923706055,3.771329879760742
2.5600001215934753,2.984501361846924
3.3000001311302185,3.3133506774902344
3.2600000500679016,3.2908775806427
3.840000033378601,3.645601272583008
4.020000100135803,3.7218806743621826
2.3600000143051147,2.134197473526001
3.840000033378601,3.4171664714813232
3.580000102519989,3.123093843460083
3.271999955177307,2.94014310836792
3.4200000762939453,3.0802793502807617
3.35999995470047,3.3259570598602295
3.799999952316284,3.4816291332244873
3.840000033378601,3.4189743995666504
2.0800000429153442,2.4115190505981445
3.059999942779541,3.3094775676727295
3.659999966621399,3.29923152923584
2.879999876022339,3.4936838150024414
3.7400001287460327,3.47121000289917
1.940000057220459,2.243313789367676
3.5600000619888306,3.4008982181549072
2.9600000381469727,2.825068950653076
4.040000140666962,3.8555071353912354
3.4200000762939453,3.4537675380706787
4.059999883174896,3.825456142425537
3.7400001287460327,3.4714865684509277
2.9600000381469727,2.6317989826202393
3.700000047683716,3.431413412094116
3.799999952316284,3.552645444869995
3.4599998593330383,2.8027045726776123
2.1799999475479126,3.002129077911377
3.6800000071525574,3.533228874206543
3.0799999833106995,2.550407648086548
3.400000035762787,3.198221206665039
2.3000000417232513,2.5775856971740723
2.8600001335144043,3.3320116996765137
1.64000004529953,2.5040740966796875
3.9399999380111694,3.835449695587158
1.7000000178813934,2.2182466983795166
2.3000000417232513,2.464348793029785
3.1200000643730164,2.866938352584839
2.57999986410141,2.505096197128296
4.14000004529953,3.732682466506958
3.400000035762787,3.1421337127685547
3.4200000762939453,3.1589274406433105
4.14000004529953,3.5044491291046143
3.2199999690055847,2.910278081893921
3.319999873638153,2.7406060695648193
3.6800000071525574,3.3709840774536133
2.319999933242798,2.2995426654815674
2.619999945163727,3.3370556831359863
3.253731429576874,3.3961195945739746
2.5200000405311584,3.0003786087036133
1.8799999356269836,3.3336238861083984
2.8600001335144043,3.2565200328826904
2.879999876022339,3.4231715202331543
3.240000009536743,3.3161699771881104
3.7400001287460327,3.7237987518310547
4.14000004529953,3.617708683013916
3.100000023841858,2.751183271408081
3.100000023841858,3.0025429725646973
2.0999999344348907,1.889376163482666
3.880000114440918,3.8565945625305176
1.7000000178813934,1.7945586442947388
3.2600000500679016,2.568155288696289
3.580000102519989,3.0726029872894287
1.6147859394550323,1.758289098739624
2.840000092983246,2.494211435317993
1.8199999630451202,2.220640182495117
2.060000002384186,2.451491355895996
2.2200000286102295,2.5157690048217773
2.460000067949295,2.233388900756836
3.1200000643730164,3.6987380981445312
3.700000047683716,3.7205166816711426
3.0000001192092896,3.2762351036071777
3.0399999022483826,2.773791551589966
3.3399999141693115,2.832650661468506
3.140000104904175,2.827244997024536
1.4599999785423279,2.7746357917785645
3.6399999260902405,3.426535129547119
3.7599998712539673,3.3678138256073
2.7799999713897705,2.910702705383301
2.160000056028366,2.1955955028533936
3.3000001311302185,3.311708450317383
3.28000009059906,2.6196274757385254
1.8600000441074371,1.8844904899597168
2.2599999606609344,2.7722299098968506
2.3999999463558197,2.7309093475341797
